title,location,price,property_type,bedrooms,bathrooms,toilets,added_date,updated_date,url,city,page
3 bedroom flat / apartment for sale,"Old Ikoyi, Ikoyi, Lagos","685,000,000",Flat / Apartment,3,3,4,26 Dec 2024,20 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/old-ikoyi/2634971-top-luxury-off-plan-3-bedrooms-apartment-with-bq,lagos,1
6 bedroom detached duplex for sale,"VGC, Lekki, Lagos","600,000,000",Detached Duplex,6,6,7,21 Feb 2026,21 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/victoria-garden-city/3353838-luxury-6-bedroom-detached-duplex-with-2-bqs-gym-pool-library,lagos,1
4 bedroom terraced duplex for sale,"Ikota, Lekki, Lagos","150,000,000",Terraced Duplex,4,4,5,06 Jan 2026,20 Jan 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3280018-four-bedroom-terrace-duplex,lagos,1
5 bedroom semi-detached duplex for sale,"Cowrie Creek, Ikate, Lekki, Lagos","950,000,000",Semi-detached Duplex,5,5,6,05 Feb 2026,07 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3328651-luxury-five-bedroom-semi-detached-duplex,lagos,1
4 bedroom semi-detached duplex for sale,"Cowrie Creek, Ikate, Lekki, Lagos","1,000,000,000",Semi-detached Duplex,4,4,5,06 Feb 2026,07 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3330154-luxury-four-bedroom-semi-detached-duplex,lagos,1
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","210,000,000",Semi-detached Duplex,4,4,5,06 Feb 2026,07 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikota/3330438-four-bedroom-semi-detached-duplex,lagos,1
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","300,000,000",Semi-detached Duplex,4,4,5,06 Feb 2026,11 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikota/3330624-luxury-four-bedroom-semi-detached-duplex,lagos,1
6 bedroom detached duplex for sale,"Chevron, Lekki, Lagos","720,000,000",Detached Duplex,6,6,7,09 Feb 2026,11 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3334551-six-bedroom-fully-detached-duplex,lagos,1
2 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","285,000,000",Flat / Apartment,2,2,3,12 Feb 2026,12 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3339675-2-bedroom-with-bq,lagos,1
3 bedroom flat / apartment for sale,"Chevron, Lekki, Lagos","160,000,000",Flat / Apartment,3,3,4,20 Feb 2026,20 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3352161-three-bedroom-apartment,lagos,1
5 bedroom detached duplex for sale,"21 Olawale Onitiri Cole Avenue Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","1,200,000,000",Detached Duplex,5,5,6,13 Nov 2025,02 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3200477-luxury-5-bedroom-fully-detached-duplex,lagos,1
5 bedroom detached duplex for sale,"Chevron Toll Gate,orchid Road, Lekki, Lagos","390,000,000",Detached Duplex,5,5,6,14 Feb 2026,21 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3342781-distress-5-bedroom-detached-duplex-with-pool-bq-on-400sqm,lagos,1
Mixed-use land for sale,"Chevy View Estate Chevron, Lekki, Lagos","800,000,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/lekki/3355689-1500-sqm-bareland,lagos,1
Mixed-use land for sale,"Kayode Animashawun Street, Off Admiralty Way @, Lekki Phase 1, Lekki, Lagos","1,600,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/lekki/lekki-phase-1/3355687-2000sqms-each-opposite-joneer-hotel-on-kayode-animashawun-street-off,lagos,1
3 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","260,000,000",Flat / Apartment,3,3,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3355685-well-built-3-bedroom-apartment-in-a-prime-location-suitable-to-invest,lagos,1
4 bedroom semi-detached duplex for sale,"Orchid Road, Lekki, Lagos","230,000,000",Semi-detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/3355684-4bedroom-semi-detached-duplex-with-bq,lagos,1
5 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","550,000,000",Detached Duplex,5,6,6,21 Aug 2025,18 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3047715-direct-brief-newly-built-5-bedroom-fully-detached-duplex,lagos,1
5 bedroom detached duplex for sale,"Ologolo, Lekki, Lagos","450,000,000",Detached Duplex,5,5,5,21 Aug 2025,18 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ologolo/3047725-magnificient-5-bedroom-fully-detached-house-with-bq,lagos,1
2 bedroom flat / apartment for sale,"Yaba, Lagos","50,000,000",Flat / Apartment,2,2,3,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/yaba/3355679-20-years-long-lease-2-bedroom-apartment-in-a-good-location-to-invest,lagos,1
4 bedroom flat / apartment for sale,"Off Awolowo Road, Ikoyi, Lagos","1,150,000,000",Flat / Apartment,4,4,5,25 Aug 2025,13 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3053071-direct-brief-luxury-4-bedroom-penthouse-available,lagos,1
4 bedroom semi-detached duplex for sale,"Off Sanusi Fafunwa, Victoria Island (VI), Lagos","5,000,000,000",Semi-detached Duplex,4,4,5,16 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/victoria-island/3345649-land-building,lagos,1
5 bedroom detached duplex for sale,"3, Ota-iku, Ikate, Lekki, Lagos","450,000,000",Detached Duplex,5,5,5,14 Oct 2024,25 Jan 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikate/2513084-exquisite-5-bedrooms-detached-duplex-with-bq,lagos,2
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","870,000,000",Detached Duplex,5,5,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3355692-5-bedroom-fully-detached-house-with-two-rooms-bq,lagos,2
Mixed-use land for sale,"Chevy View Estate Chevron, Lekki, Lagos","800,000,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/lekki/3355689-1500-sqm-bareland,lagos,2
Mixed-use land for sale,"Kayode Animashawun Street, Off Admiralty Way @, Lekki Phase 1, Lekki, Lagos","1,600,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/lekki/lekki-phase-1/3355687-2000sqms-land,lagos,2
3 bedroom house for sale,"Royal Estate Close To Egbeda, Alimosho, Lagos","45,000,000",House,3,3,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/lagos/alimosho/3355686-smart-cheapest-3-bedroom-bungalow,lagos,2
3 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","260,000,000",Flat / Apartment,3,3,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3355685-well-built-3-bedroom-apartment,lagos,2
4 bedroom semi-detached duplex for sale,"Orchid Road, Lekki, Lagos","230,000,000",Semi-detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/3355684-4bedroom-semi-detached-duplex-with-bq,lagos,2
5 bedroom detached duplex for sale,"Ikota, Lekki, Lagos","550,000,000",Detached Duplex,5,6,6,21 Aug 2025,18 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/3047715-direct-brief-newly-built-5-bedroom-fully-detached-duplex,lagos,2
5 bedroom detached duplex for sale,"Ologolo, Lekki, Lagos","450,000,000",Detached Duplex,5,5,5,21 Aug 2025,18 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ologolo/3047725-magnificient-5-bedroom-fully-detached-house-with-bq,lagos,2
2 bedroom flat / apartment for sale,"Yaba, Lagos","50,000,000",Flat / Apartment,2,2,3,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/yaba/3355679-20-years-long-lease-2-bedroom-apartment,lagos,2
4 bedroom flat / apartment for sale,"Off Awolowo Road, Ikoyi, Lagos","1,150,000,000",Flat / Apartment,4,4,5,25 Aug 2025,13 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3053071-direct-brief-luxury-4-bedroom-penthouse-available,lagos,2
4 bedroom semi-detached duplex for sale,"Off Sanusi Fafunwa, Victoria Island (VI), Lagos","5,000,000,000",Semi-detached Duplex,4,4,5,16 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/victoria-island/3345649-land-building,lagos,2
Mixed-use land for sale,"Off Joel Ogunnaike Street, Ikeja GRA, Ikeja, Lagos","700,000,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/ikeja/gra/3355673-prime-land-measuring-436730sqm,lagos,2
4 bedroom detached duplex for sale,"Chevron, Lekki Phase 1, Lekki, Lagos","450,000,000",Detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3355672-5-bedroom-detached-duplex,lagos,2
5 bedroom detached duplex for sale,"VGC, Lekki, Lagos","360,000,000",Detached Duplex,5,5,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/victoria-garden-city/3355666-lovely-5-bedroom-fully-detached-duplex-with-swimming-pool-bq,lagos,2
4 bedroom house for sale,"Plot12a Peach Road, Pinnock Beach Estate, Osapa, Lekki, Lagos","950,000,000",House,4,4,4,25 Sep 2025,16 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/osapa/3114462-direct-brief-elegant-4-bedroom-fully-detached-house-with-poolcinema,lagos,2
3 bedroom house for sale,"Surulere, Surulere, Lagos","300,000,000",House,3,,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/lagos/surulere/3355665-newly-built-and-furnished-3-bedrooms-house-with-a-bq,lagos,2
4 bedroom flat / apartment for sale,"Milverton Road, Ikoyi, Lagos","1,800,000,000",Flat / Apartment,4,4,4,26 Sep 2025,18 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3115488-direct-brief-the-luxurious-4-bedroom-maisonette,lagos,2
Office space for sale,"Okotie-eboh Street, Ikoyi, Lagos","525,000,000",Office Space,,2,2,19 Dec 2025,31 Jan 2026,https://nigeriapropertycentre.com/for-sale/commercial/offices/lagos/ikoyi/3259932-exquisite-fully-furnished-office-space-available,lagos,2
3 bedroom flat / apartment for sale,"Odudwa Crescent, Ikeja GRA, Ikeja, Lagos","350,000,000",Flat / Apartment,3,3,4,19 Jan 2026,19 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3300164-3-bedroom-flat-with-excellent-facilities,lagos,2
3 bedroom detached bungalow for sale,"Baba Adisa, Eleko Junction Axis, Ibeju Lekki, Lagos","48,000,000",Detached Bungalow,3,3,4,15 Jan 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/3295438-3-bedrooms-bungalow,lagos,2
Land for sale,"Off Alhaji Kosoko Road, Ojodu Berger, Ojodu, Lagos","120,000,000",Land,,,,13 Nov 2025,13 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/lagos/ojodu/ojodu-berger/3200208-3-bedroom-bungalow-on-a-670sqm-plot-in-a-quiet-close,lagos,3
3 bedroom terraced duplex for sale,"Ikota Villa Estate, Lekki, Lagos","105,000,000",Terraced Duplex,3,3,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3355651-3-bedroom-terrace-duplex,lagos,3
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","850,000,000",Detached Duplex,5,5,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3355658-tastefully-built-5-bedroom-fully-detached-duplex-with-a-room-bq,lagos,3
5 bedroom detached duplex for sale,"Awuse Estate, Opebi, Ikeja, Lagos State, Opebi, Ikeja, Lagos","450,000,000",Detached Duplex,5,,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikeja/opebi/3355657-five-5-bedroom-duplex-with-two-rooms-bq,lagos,3
6 bedroom detached duplex for sale,"Chevron Drive, Lekki, Lagos","400,000,000",Detached Duplex,6,6,7,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3355653-ultra-smart-6-bedroom-fully-detached-duplex-with-penthouse-bq,lagos,3
5 bedroom detached duplex for sale,"Royal Gardens Estate, Ajah, Lagos","450,000,000",Detached Duplex,5,5,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3355648-lovely-5-bedroom-detached-duplex-with-pool-cinema-bq-roof-terrace,lagos,3
3 bedroom detached bungalow for sale,"Idera Scheme, Eleko, Ibeju Lekki, Lagos","75,000,000",Detached Bungalow,3,4,4,19 Feb 2026,19 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/eleko/3350138-luxury-fully-detached-3-bedroom-bungalow-bq,lagos,3
5 bedroom detached duplex for sale,"Osapa London Gardens Estate, Osapa, Lekki, Lagos","450,000,000",Detached Duplex,5,5,5,21 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/3353717-a-fullyfurnished-5-bedroom-fully-detached-house,lagos,3
3 bedroom detached duplex for sale,"Ogombo, Lekki Phase 2, Lekki, Lagos","130,000,000",Detached Duplex,3,4,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-2/3355644-luxurious-3-bedroom-fully-detached-duplex,lagos,3
2 bedroom flat / apartment for sale,"Ketu, Lagos","75,000,000",Flat / Apartment,2,2,3,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ketu/3355643-7-units-of-newly-built-all-rooms-en-suite-2-bedroom-apartment-with-bq,lagos,3
4 bedroom detached duplex for sale,"Owode Off Langbasa Road Owode, Ado, Ajah, Lagos","170,000,000",Detached Duplex,4,5,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/ado/3355641-a-well-built-spacious-4-bedroom-detached-duplex-with-room-self-contain,lagos,3
4 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos","600,000,000",Detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/magodo/gra-phase-2/3355639-newly-built-4-bedroom-fully-detached-duplex-with-bq,lagos,3
4 bedroom semi-detached duplex for sale,"Ikate, Lekki, Lagos","380,000,000",Semi-detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate/3355638-nicely-finished-4-bedroom-semi-detached-duplex-with-a-room-bq,lagos,3
5 bedroom detached duplex for sale,"Ikoyi, Lagos","2,500,000,000",Detached Duplex,5,5,6,05 Jan 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ikoyi/3278688-luxury-5-bedroom-fully-detached-mansion,lagos,3
3 bedroom house for sale,"Off Macpherson Street, Ikoyi, Lagos","60,000,000",House,3,3,4,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikoyi/3355636-exquisite-3-bedroom-terrace-duplex,lagos,3
3 bedroom flat / apartment for sale,"Off Royal Palm Drive, Osborne Phase Ii, Osborne, Ikoyi, Lagos","550,000,000",Flat / Apartment,3,4,4,10 Jan 2025,08 Jan 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/osborne/2655074-beautiful-3-bedroom-flat,lagos,3
3 bedroom terraced duplex for sale,"Lekki Scheme 2, Ajah, Lagos","110,000,000",Terraced Duplex,3,3,4,31 Jul 2025,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3007409-3-bedroom-terraced-duplex,lagos,3
5 bedroom detached duplex for sale,"Bella Vista Estate, Ikate, Lekki, Lagos","1,000,000,000",Detached Duplex,5,5,6,13 Nov 2025,02 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikate/3200123-luxury-5-bedrooms-fully-detached-duplex,lagos,3
Land for sale,"Oju Olobun Street, Victoria Island (VI), Lagos","3,500,000,000",Land,,,,10 Jul 2025,16 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/lagos/victoria-island/2969244-fenced-bare-land,lagos,3
1 bedroom mini flat (room and parlour) for sale,"Ayinke George Street, Seagate Estate, Ikate Elegushi, Lekki, Lagos","80,000,000",Mini Flat (Room and Parlour),1,1,2,13 Aug 2025,29 Jan 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/mini-flats/lagos/lekki/ikate-elegushi/3030466-exceptional-one-bedroom-flat,lagos,3
3 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","320,000,000",Flat / Apartment,3,3,4,16 Sep 2025,16 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3096537-stunning-brand-new-3-bedroom-flat,lagos,3
Commercial land for sale,"Tinubu Square, Lagos Island, Lagos","2,500,000,000",Commercial Land,,,,19 Feb 2026,19 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/commercial-land/lagos/lagos-island/3349956-2775sqm-land-with-demolishable-structure,lagos,4
4 bedroom house for sale,"Royal Gardens Estate, Ajah, Lagos","650,000,000",House,4,4,5,12 Nov 2025,04 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/lagos/ajah/3198143-brand-new-4-bedroom-fully-detached-house,lagos,4
3 bedroom flat / apartment for sale,"Admiralty Road, Lekki Phase 1, Lekki, Lagos","800,000,000",Flat / Apartment,3,4,4,08 Jan 2026,16 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/lekki-phase-1/3284406-brand-new-spectacular-apartmebt,lagos,4
Land for sale,"Lekki Phase 1, Lekki, Lagos","2,000,000,000",Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/lagos/lekki/lekki-phase-1/3355628-lekki-phase-1-land-with-structure-measuring-1117sqm-location-lekki-p,lagos,4
4 bedroom semi-detached duplex for sale,"Ikota, Ikota, Lekki, Lagos","210,000,000",Semi-detached Duplex,4,5,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikota/3355622-beautifully-finished-4-bedroom-semi-detached-duplex,lagos,4
3 bedroom terraced duplex for sale,"Lekki Scheme Ii, Lekki Peninsula, Lekki, Lagos","130,000,000",Terraced Duplex,3,3,4,24 Jan 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3309579-3-bedroom-terraced-duplex-with-a-room-boys-quarter-and-self-compound-s,lagos,4
4 bedroom detached duplex for sale,"Alapere, Ketu, Lagos","80,000,000",Detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ketu/alapere/3355619-4bedroom-detached-duplex,lagos,4
2 bedroom flat / apartment for sale,"Ikeja, Lagos","140,000,000",Flat / Apartment,2,,3,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/3355616-exquisitely-built-2-bedroom-apartments,lagos,4
4 bedroom semi-detached duplex for sale,"Lekky County, Lekki, Lagos","250,000,000",Semi-detached Duplex,4,5,5,24 Jan 2026,24 Jan 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/3308905-4-bedroom-semi-detached-duplex,lagos,4
2 bedroom flat / apartment for sale,"Gbagada, Lagos","90,000,000",Flat / Apartment,2,,3,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/gbagada/3355613-newly-built-of-2-bedroom-apartments,lagos,4
4 bedroom detached duplex for sale,"Gbagada, Lagos","280,000,000",Detached Duplex,4,,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/gbagada/3355611-magnificent-built-4-bedroom-detached-duplex,lagos,4
Residential land for sale,"Pearl Garden Estate, Sangotedo, Ajah, Lagos","130,000,000",Residential Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ajah/sangotedo/3355608-800sqm-well-shaped-land,lagos,4
5 bedroom detached duplex for sale,"Osapa London, Lekki, Lagos","900,000,000",Detached Duplex,5,6,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3355605-exquisitely-finished-luxury-5-bedroom-fully-detached-duplex,lagos,4
4 bedroom terraced bungalow for sale,"Victoria Island (VI), Lagos","750,000,000",Terraced Bungalow,4,5,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-bungalows/lagos/victoria-island/3355601-the-most-affordable-4-bedroom-terrace-duplex-with-gym-pool,lagos,4
5 bedroom detached duplex for sale,"Ajah, Lagos","250,000,000",Detached Duplex,5,5,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3355599-well-defined-and-gorgeous-5-bedroom-duplex-with-a-bq-and-a-pool,lagos,4
4 bedroom terraced duplex for sale,"Ikate, Lekki, Lagos","280,000,000",Terraced Duplex,4,5,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3355597-spacious-4-bedroom-serviced-terraced-duplex-with-bq,lagos,4
5 bedroom detached duplex for sale,"Ajah, Lagos","330,000,000",Detached Duplex,5,5,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3355595-magnificent-5-bedroom-duplex-with-a-poolbqand-a-gym-all-ensuite,lagos,4
4 bedroom semi-detached duplex for sale,"Osapa, Lekki, Lagos","220,000,000",Semi-detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/osapa/3355589-contemporary-4-bedroom-semi-detached-with-bq,lagos,4
4 bedroom terraced duplex for sale,"Ajah, Lagos","135,000,000",Terraced Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3355590-stunning-and-luxurious-4-bedroom-terrace-duplex-with-a-self-compound,lagos,4
4 bedroom detached duplex for sale,"Secured Estate With 4mins Drive To Frsc, Ojodu Berger, Ojodu, Lagos","260,000,000",Detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ojodu/ojodu-berger/3355585-newly-built-to-taste-4-bedroom-detached-duplex,lagos,4
4 bedroom terraced duplex for sale,"Ajah, Lagos","140,000,000",Terraced Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3355584-amazing-4-bedroom-terrace-duplex-with-all-rooms-ensuite,lagos,4
2 bedroom flat / apartment for sale,"Oasis Court 5 Apartments, Gra, Abijo, Lekki, Lagos","45,000,000",Flat / Apartment,2,2,,03 Jan 2026,05 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/abijo/3274936-2-bedroom-apartment,lagos,5
4 bedroom detached duplex for sale,"Secured Estate With 4mins Drive To Frsc, Ojodu Berger, Ojodu, Lagos","260,000,000",Detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ojodu/ojodu-berger/3355585-newly-built-to-taste-4-bedroom-detached-duplex,lagos,5
4 bedroom terraced duplex for sale,"Ajah, Lagos","140,000,000",Terraced Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3355584-amazing-4-bedroom-terrace-duplex-with-all-rooms-ensuite,lagos,5
Mixed-use land for sale,"Orange Island, Lekki Phase 1, Lekki, Lagos","260,000,000",Mixed-use Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/lekki/lekki-phase-1/3355580-waterfront-land,lagos,5
5 bedroom detached duplex for sale,"Ikota Gra, Lekki, Lagos","180,000,000",Detached Duplex,5,5,6,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3355583-newly-built-furnished-luxury-5-bedroom-fully-detached-duplex,lagos,5
4 bedroom semi-detached duplex for sale,"Within A Well Secured Estate And Close Proximity To Commercial Ameniti, Ajah, Lagos","150,000,000",Semi-detached Duplex,4,4,5,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/3355582-newly-built-and-well-detailed-4-bedroom-semi-detached-duplex,lagos,5
2 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos","205,000,000",Flat / Apartment,2,3,3,22 Feb 2026,22 Feb 2026,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3355279-luxury-2-bedroom-apartment-with-elevator-gym-swimming-pool,lagos,5
2 bedroom terraced duplex for sale,"Ajah, Lagos","120,000,000",Terraced Duplex,2,3,3,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/3355581-fully-furnished-2-bedroom-terrace-duplex,lagos,5
