title,location,price,property_type,bedrooms,bathrooms,toilets,added_date,updated_date,url,city,page
7 bedroom detached duplex for sale,"Maitama District, Abuja","3,400,000,000",Detached Duplex,7,7,8,07 Jan 2026,13 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/abuja/maitama-district/3282473-nice-7-bedroom-detached-duplex-with-swimming-pool-3-rooms-bq,abuja,2
Residential land for sale,"Along The Train Station Axis, Idu Industrial, Abuja","8,500,000",Residential Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/idu-industrial/3355537-premium-estate-flat-land,abuja,2
Residential land for sale,"Behind Naf Valley Estate Asokoro, Asokoro District, Abuja","12,000,000",Residential Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/asokoro-district/3355535-luxury-estate-land-in-valencia-estate-asokoro-extension-abuja,abuja,2
Residential land for sale,"Asokoro District, Abuja","13,000,000",Residential Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/asokoro-district/3355534-luxury-estate-land-in-valencia-estate-asokoro-extension-abuja,abuja,2
Residential land for sale,"Behind Army Estate Phase 3, Kurudu, Abuja","5,000,000",Residential Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/kurudu/3355533-estate-land,abuja,2
Residential land for sale,"*goodland Phase 1 Estate Behind Dunamis/river Park Airport Road Lugbe, Lugbe District, Abuja","13,000,000",Residential Land,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/land/residential-land/abuja/lugbe-district/3355532-estate-land-in-lugbe,abuja,2
4 bedroom terraced duplex for sale,"Jahi, Abuja","250,000,000",Terraced Duplex,4,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/jahi/3355526-4-bedroom-terraced-duplex,abuja,2
4 bedroom semi-detached duplex for sale,"Citygate Estate, Before Godab Estate, Life Camp, Abuja","285,000,000",Semi-detached Duplex,4,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/abuja/life-camp/3355524-4-bedroom-semi-detached-duplex,abuja,2
4 bedroom terraced duplex for sale,"Jahi, Abuja","450,000,000",Terraced Duplex,4,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/jahi/3355521-brand-new-4-bedroom-terraced-duplex,abuja,2
4 bedroom terraced duplex for sale,"Katampe Extension, Katampe, Abuja","550,000,000",Terraced Duplex,4,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/katampe-district/katampe-extension/3355518-fully-furnished-4-bedrooms-terraced-duplex,abuja,2
4 bedroom terraced duplex for sale,"Wuye, Abuja","300,000,000",Terraced Duplex,4,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/wuye/3355514-4-bedrooms-terraced-duplex,abuja,2
Block of flats for sale,"Garki, Abuja","850,000,000",Block of Flats,,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/abuja/garki/3355509-residential-property,abuja,2
4 bedroom terraced duplex for sale,"Riverpark Estate, Airport Road, Lugbe District, Abuja","200,000,000",Terraced Duplex,4,,,23 Feb 2026,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/lugbe-district/3355507-4-bedrooms-terraced-duplex-privately-gated,abuja,2
4 bedroom terraced duplex for sale,"Close To Berger Clinic, Life Camp, Abuja","160,000,000",Terraced Duplex,4,5,5,03 Mar 2025,23 Feb 2026,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/abuja/life-camp/2748942-brand-new-5-units-4-bedrooms-terraced-duplex,abuja,2
