,title,property_type,location,price,price_category,bedroom,bathroom,price_per_bedroom,added_date,updated_date,month_added,state
10585,Zara Farm City - Land Of Wealth With C Of O,land,"apa egbede community, imodi ijasi, ikorodu, ijebu ode, ogun",1800000.0,low,,,,2025-09-10,2026-01-24,2025-09,Ogun
10586,"Buy And Build Land In A Serene Environment, With C Of O",land,"kobape abeokuta, off muhammad buhari road, abeokuta south, ogun",1500000.0,low,,,,2025-02-10,2025-12-13,2025-02,Ogun
10587,Newly Renovated 4 Blocks Of Flats On A Standard Plot Of Land.,land,"oshodi, ogijo, ogun",100000000.0,high,,,,,2026-01-20,NaT,Ogun
10588,Farm Land With Unbeatable Offers,land,"tejoun kesi village, alabata ã¢â€â“ funaab axis, abeokuta north, ogun",3600000.0,low,,,,,2025-11-13,NaT,Ogun
10589,Standard 3 Bedroom Bungalow,bungalow,"mowe ofada, ogun",48000000.0,mid,3.0,4.0,16000000.0,,2026-01-26,NaT,Ogun
10590,"Two 3 Bedroom Bungalow And One Mini Flat At Magboro, Ogun State",bungalow,"5 onyejiuwa street, grace estate, magboro, ogun",85000000.0,high,6.0,6.0,14166666.67,,2025-12-22,NaT,Ogun
10591,3 Bedroom Bungalow,bungalow,"queens home off lagos- ibadan expressway, mowe ofada, ogun",42500000.0,mid,3.0,3.0,14166666.67,,2026-01-13,NaT,Lagos
10592,9 Plots Of Land Available,land,"queens park estate, mowe ofada, ogun",6000000.0,low,,,,,2026-01-13,NaT,Ogun
10593,8.731 Hectares Of Land,land,"sagamu - ijebu ode road, odogbolu, ogun",7440000000.0,high,,,,,2026-01-03,NaT,Ogun
10594,5-bedroom Detached House With 2-bedroom Flats,flat/apartment,"ijebu ode, ogun",50000000.0,mid,7.0,5.0,7142857.143,,2026-01-02,NaT,Ogun
10595,Acres Of Land Available,land,"mowe omu, mowe town, ogun",3000000.0,low,,,,,2025-11-03,NaT,Ogun
10596,Carcass 2 Bedroom Flat,flat/apartment,"cranbel court estate, berger, arepo, ogun",30000000.0,mid,2.0,2.0,15000000.0,,2025-11-19,NaT,Ogun
10597,Lovely 3 Bedroom Bungalow With Mini Flat Built On A Plot Of Land,land,"magboro, ogun",40000000.0,mid,3.0,3.0,13333333.33,,2026-01-15,NaT,Ogun
10598,Vacant Land,land,"treasure park estate adron homes shimawa treasure pack rccg auditorium, km 46, ogun",20000000.0,mid,,,,,2026-01-05,NaT,Ogun
10599,Two Blocks Of 3 Bedroom With Mini Flats Bungalow,bungalow,"orinmerunmu olowotedo, asese, ibafo, ogun",30000000.0,mid,6.0,6.0,5000000.0,2025-02-10,2025-12-29,2025-02,Ogun
10600,4 Bedroom Detached Duplex With Bq,detached duplex,"berger, arepo, ogun",170000000.0,high,4.0,4.0,42500000.0,,2026-01-25,NaT,Ogun
10601,Luxury 4bedroom Duplex,house,"berger, arepo, ogun",170000000.0,high,4.0,4.0,42500000.0,2025-06-10,2025-12-22,2025-06,Ogun
10602,Full Plot Of Land In A Secured Estate,land,"berger, arepo, ogun",120000000.0,high,,,,2025-06-10,2025-12-22,2025-06,Ogun
10603,1 Unit Of Standard 2 Bedroom With Store And 2 Unit Of Room And Parlour,flat/apartment,"iyana coker, ifo, ogun",22000000.0,mid,4.0,4.0,5500000.0,2025-07-10,2025-12-11,2025-07,Ogun
10604,One Acres Of Land,land,"agbaakin village, obafemi owode, ogun",30000000.0,mid,,,,2025-08-10,2025-12-08,2025-08,Ogun
10605,Buy And Built Land In A Well Secured Estate,land,"berger, arepo, ogun",65000000.0,high,,,,2025-09-10,2025-12-22,2025-09,Ogun
10606,Buy And Build Land In An Estate,land,"berger, arepo, ogun",55000000.0,high,,,,2025-09-10,2025-12-22,2025-09,Ogun
10607,Allocated Plot Golf And Estate,land,"treasure park and gardens, phase 1 extension, golf and estate, simawa, ogun",26000000.0,mid,,,,2025-09-10,2025-11-19,2025-09,Ogun
10608,Lovely 6 Bedroom Duplex,house,"off oke aro - matogun road, oke-aro, ogun",40000000.0,mid,6.0,6.0,6666666.667,2025-11-10,2026-01-24,2025-11,Ogun
10609,600 Square Metre Land,land,"emerald wellness city estate, off lagos ibadan express way, berger, arepo, ogun",32000000.0,mid,,,,2025-12-10,2026-01-26,2025-12,Lagos
10610,2 Units Of Mini Flat And A Big Shop On A Quarter,flat/apartment,"itele, ayobo, ado-odo/ota, ogun",9000000.0,low,4.0,4.0,2250000.0,2025-06-10,2025-11-18,2025-06,Ogun
10611,Complete Half Plot Of Land In A Very Decent Area,land,"mopol, ayetoro, close to ayobo lagos, ado-odo/ota, ogun",14000000.0,mid,,,,,2025-11-18,NaT,Lagos
10612,Standard Spacious 4 Bedroom Bungalow Setback Big Sitting Room Big,bungalow,"itele close to ayobo, ado-odo/ota, ogun",20000000.0,mid,4.0,4.0,5000000.0,,2025-11-18,NaT,Ogun
10613,Standard 3 Bedroom Bungalow With A Mini Flat Setback On More Than Full,bungalow,"itele, ado-odo/ota, ogun",26000000.0,mid,3.0,3.0,8666666.667,,2025-11-18,NaT,Ogun
10614,6 Units Of 2 Bedroom Flat,flat/apartment,"berger, arepo, ogun",320000000.0,high,2.0,3.0,160000000.0,,2026-01-16,NaT,Ogun
10615,Fantastic 6 Units Of 2 Bedroom Flat,flat/apartment,"berger, arepo, ogun",320000000.0,high,2.0,2.0,160000000.0,,2026-01-15,NaT,Ogun
10616,4 Units Of 3 Bedroom All Ensuite  Flats Structure,flat/apartment,"berger, arepo, ogun",250000000.0,high,3.0,3.0,83333333.33,,2026-01-15,NaT,Ogun
10617,Introducing Starcrest Palm Estate - Where Land Works For You,land,"alabata, abeokuta north, ogun",3000000.0,low,,,,,2025-10-29,NaT,Ogun
10618,3 Bedroom Semi Detached Duplex New House,semi detached duplex,"sparklight estate,, opic, isheri north, ogun",120000000.0,high,3.0,,40000000.0,,2026-01-13,NaT,Ogun
10619,Roofed & Spacious 2 Bedroom Bungalow,bungalow,"25 minutes drive from ikeja airport, olowotedo, asese, ibafo, ogun",6000000.0,low,2.0,2.0,3000000.0,,2025-11-06,NaT,Ogun
10620,Fantastic   3 Bedroom Bungalow On A Plot A Of Land,land,"asese, ibafo, ogun",35000000.0,mid,3.0,3.0,11666666.67,,2026-01-15,NaT,Ogun
10621,4 Units Of Newly Built One Bedroom Fully Furnished Apartment,flat/apartment,"asese, ibafo, ogun",60000000.0,high,1.0,1.0,60000000.0,,2026-01-15,NaT,Ogun
10622,3 Bedroom Terraced Duplex,terraced duplex,"the amani terrace, off loveworld city (christ embassy hq), asese, ibafo, ogun",85000000.0,high,3.0,3.0,28333333.33,2025-01-10,2025-11-24,2025-01,Ogun
10623,Two Blocks Of 3 Bedroom With Mini Flats Bungalow,bungalow,"orinmerunmu olowotedo, asese, ibafo, ogun",30000000.0,mid,6.0,6.0,5000000.0,2025-02-10,2025-12-29,2025-02,Ogun
10624,Farm Land,land,"aroko farms & resort ayetoro, yewa north, ogun",4500000.0,low,,,,,2026-01-20,NaT,Ogun
10625,Well Located And Fully Fenced Mixed Use Land Measuring 4141sqm,land,"ogijo, ogun",50000000.0,mid,,,,,2026-01-23,NaT,Ogun
10626,Modern 3-bedroom Semi-detached Duplex With Open Roof On 2 Floors,semi detached duplex,"forthright garden estate, berger, arepo, ogun",200000000.0,high,3.0,3.0,66666666.67,,2026-01-22,NaT,Ogun
10627,Luxury 3 Bedroom Detached Bungalows Off Plan Features,bungalow,"treasure island estate phase 2 kajola off old abeokuta road, mowe ofada, ogun",45000000.0,mid,3.0,3.0,15000000.0,,2026-01-25,NaT,Ogun
10628,An Completed 7nos Of 3 Bedroom Apartment,flat/apartment,"angel estate off magboro road, akesan, magboro, ogun",65000000.0,high,3.0,,21666666.67,,2026-01-25,NaT,Ogun
10629,3 Acres Of Industrial Land,land,"km 46, ogun",400000000.0,high,,,,,2025-11-20,NaT,Ogun
10630,Newly Built 3 Bedrooms Bungalow With All Modern Facilities,bungalow,"shimawa, ibafo, ogun",28000000.0,mid,3.0,,9333333.333,,2025-12-20,NaT,Ogun
10631,Affordable 2 Bedroom Bungalow - Up To 24 Months Payment Payment Plan,bungalow,"queens park estate, mowe ofada, ogun",35500000.0,mid,2.0,2.0,17750000.0,,2025-12-26,NaT,Ogun
10632,Dry Land Distress Deal,land,"city of david, simawa, ogun",9000000.0,low,,,,,2026-01-22,NaT,Ogun
10633,5 Plots Of Land,land,"arapaja road, odo ona kekere, it's accessible from both the lagos-ibadan, km 46, ogun",12000000.0,mid,,,,,2026-01-24,NaT,Lagos
10634,Newly Built Detached 4 Bedrooms Duplex With Bq In Estate With Gatepass,detached duplex,"bluestone estate off lagos ibadan express way, mowe town, ogun",110000000.0,high,4.0,5.0,27500000.0,,2025-12-20,NaT,Lagos
10635,4 Units Of 2-bedroom Apartments + 2 Units Of Mini-flats,flat/apartment,"moore junction via asero, abeokuta south, ogun",140000000.0,high,1.0,1.0,140000000.0,,2025-12-04,NaT,Ogun
10636,"5,000 Acres Of Prime Land For Estate, Industrial & Agro Projects",land,"ibadan expressway, ijebu ode, ogun",1000000.0,low,,,,2025-07-08,2026-01-19,2025-07,Ogun
10637,2 Nos Of Bungalows On Full Plot Of Land,land,"asore estate off akute road, ajuwon, ifo, ogun",60000000.0,high,3.0,3.0,20000000.0,2025-08-09,2025-11-03,2025-08,Ogun
10638,Luxury 5 Bedroom Detached Duplex With A Bq Built On Full Plot Of Land,land,"oshorun, opic, isheri north, ogun",240000000.0,high,5.0,5.0,48000000.0,,2026-01-26,NaT,Ogun
10639,Premium Land With C Of O,land,"lemomu, atan ota, ado-odo/ota, ogun",3500000.0,low,,,,2025-12-09,2026-01-22,2025-12,Ogun
10640,22 Rooms Hotel In A Serene Neighborhood,hotel / guest house,"along idiroko, atan ota, ado-odo/ota, ogun",80000000.0,high,,,,,2025-12-20,NaT,Ogun
10641,Industrial Land,land,"sango, otta, ado-odo/ota, ogun",950000000.0,high,,10.0,,2025-07-09,2026-01-05,2025-07,Ogun
10642,3 Bedroom Fully Detached Bungalow In An Estate,fully detached,"mowe ofada, ogun",42500000.0,mid,3.0,3.0,14166666.67,,2025-10-29,NaT,Ogun
10643,C Of O Land In Any Estate With Security And Residents,land,"mowe ofada, ogun",6000000.0,low,,,,,2025-10-29,NaT,Ogun
10644,Residential 2 Plots Of Land Can Be Shared To One By One,land,"golden heritage estate, mowe ofada, ogun",11000000.0,mid,,,,2025-02-09,2026-01-25,2025-02,Ogun
10645,Adron Homes Vidco Plots,land,"simawa, ogun",1000000.0,low,,,,2025-02-09,2025-11-24,2025-02,Ogun
10646,A Land Measuring 7 Plot And A Structure,land,"sowunmi village, ibogun, ifo, ogun",60000000.0,high,,,,2025-04-09,2025-12-01,2025-04,Ogun
10647,Decent 2 Bedroom Flat,flat/apartment,"warewa, berger, arepo, ogun",45000000.0,mid,2.0,2.0,22500000.0,2025-05-09,2025-12-30,2025-05,Ogun
10648,Strategic Commercial & Residential Land,land,"ifo area of ibogun / opeyika, ifo, ogun",3800000.0,low,,,,,2026-01-23,NaT,Ogun
10649,An Affordable Residential And Commercial Land,land,"mowe town, ogun",7000000.0,low,,,,2025-08-09,2025-12-16,2025-08,Ogun
10650,A Big Warehouse 4000 Sqm Of Land,land,"toll gate, sango ota, ogun",1200000000.0,high,,,,2025-12-09,2025-12-08,2025-12,Ogun
10651,Verified And Affordable Land In A Prime Location,land,"berger, arepo, ogun",12500000.0,mid,,,,,2026-01-25,NaT,Ogun
10652,4 Bedroom Semi Detached Duplex,semi detached duplex,"berger, arepo, ogun",100000000.0,high,4.0,4.0,25000000.0,,2026-01-15,NaT,Ogun
10653,887sqm Fenced & Gated Land,land,"laderin, abeokuta south, ogun",25000000.0,mid,,,,,2025-12-16,NaT,Ogun
10654,Standard 12 Acres Of Land,land,"kobape, abeokuta south, ogun",1500000.0,low,,,,,2026-01-26,NaT,Ogun
10655,Govt Approved  Agric Farm Land Strategically Located,land,"milebrook farm city estate, obafemi owode, ogun",3600000.0,low,,,,,2026-01-25,NaT,Ogun
10656,Verified And Affordable Land In A Built Up Location,land,"milebrook bliss estate, obafemi owode, ogun",2500000.0,low,,,,,2026-01-25,NaT,Ogun
10657,Newly Built 4 Bedroom Semi Detached Duplexes,semi detached duplex,"opic estate, agbara, ado-odo/ota, ogun",130000000.0,high,4.0,4.0,32500000.0,,2026-01-26,NaT,Ogun
10658,A  Bungalow Of 2 Units Of Flat Set Back All The Rooms Ensuit,bungalow,"lambe junction, akute, ifo, ogun",33000000.0,mid,,,,,2025-12-17,NaT,Ogun
10659,A Block Of Three Bedroom Habitable Uncompleted Building,flat/apartment,"akute, ifo, ogun",35000000.0,mid,,,,,2025-11-24,NaT,Ogun
10660,Brand New Fully Detached 5 Bedroom Duplex,fully detached,"opic, isheri north, ogun",220000000.0,high,5.0,5.0,44000000.0,,2026-01-22,NaT,Ogun
10661,Best Land To Invest In Fastest-rising Area For The Perfect Roi Land,land,"covenant university,bell university,indomie manufacturing,sokoto road, atan ota, ado-odo/ota, ogun",2500000.0,low,,,,,2026-01-03,NaT,Sokoto
10662,Plot Of Land Measuring 500sqm,land,"cityview estate, warewa, berger, arepo, ogun",100000000.0,high,,,,,2025-12-07,NaT,Ogun
10663,An Industrial Land Of 5 Acres Bare Land,land,"lagos/ibadan expressway, berger, arepo, ogun",1300000000.0,high,,,,,2026-01-25,NaT,Lagos
10664,Office Building On Complete Full Plot Of Land,land,"anchor estate, magboro, ogun",18000000.0,mid,,2.0,,,2026-01-12,NaT,Ogun
10665,Dry  Estate Land,land,"ivy city, ilado, ijebu -ode road, ijebu east, ogun",2500000.0,low,,,,,2026-01-26,NaT,Ogun
10666,6 Bedroom Detached Duplex,detached duplex,"berger, arepo, ogun",100000000.0,high,6.0,6.0,16666666.67,,2026-01-21,NaT,Ogun
10667,Executive Newly Built 4 Bedroom Detached Duplex With Bq,detached duplex,"ta garden, berger, arepo, ogun",330000000.0,high,4.0,5.0,82500000.0,,2026-01-26,NaT,Ogun
10668,Lovely 4 Bedroom  Duplex  With 2 Units Of 2 Bedroom Flat,house,"magboro, magboro, ogun",200000000.0,high,4.0,4.0,50000000.0,,2026-01-20,NaT,Ogun
10669,Acres Of  Buy And Build Land For Commercial And Residential Activities,land,"mowe golf town, off lagos ibadan expressway, mowe town, ogun",15500000.0,mid,,,,,2026-01-22,NaT,Lagos
10670,Affordable Plots Of Mixed-use Land,land,"aroko farm resort, ayetoro, ifo, ogun",2700000.0,low,,,,,2026-01-26,NaT,Ogun
10671,Detached Bungalow With 11 Units Of Self - Contained,bungalow,"ibogun ( olabisi onabanjo university), ewekoro, ogun",35000000.0,mid,11.0,11.0,3181818.182,,2026-01-24,NaT,Ogun
10672,Luxurious  4 Bedrooms Duplex,house,"magboro, ogun",270000000.0,high,4.0,4.0,67500000.0,,2026-01-15,NaT,Ogun
